Player,Kills,Deaths,ADR,KAST%,Rating,Pro
4216,22,19,85,69,1.17,1
3543,26,23,83.5,58.6,1.1,1
3972,20,23,78.2,75.9,1.02,1
2476,17,20,68.1,79.3,0.97,0
2299,17,20,66.3,65.5,0.86,0
11915,28,21,99.8,65.5,1.35,1
12802,20,17,78.2,75.9,1.2,1
7590,21,24,85.6,65.5,1.03,1
2982,18,20,66.6,69,1,0
9903,18,20,57.5,65.5,0.87,0
2299,25,12,118.6,90.5,1.82,1
3972,19,10,114.8,85.7,1.67,1
4216,20,11,90,90.5,1.55,1
3543,15,10,59.2,90.5,1.22,1
2476,14,12,68.9,81,1.07,1
11915,19,19,85,71.4,1.01,1
9903,13,18,65.8,57.1,0.81,0
7590,8,19,44.7,33.3,0.55,0
2982,7,18,56.2,38.1,0.52,0
12802,8,19,54.2,52.4,0.5,0
3972,28,20,113.7,70.4,1.42,1
3543,22,15,86.1,81.5,1.28,1
2299,20,18,77.9,74.1,1.15,1
4216,14,20,62.5,70.4,0.81,0
2476,10,18,43.7,70.4,0.69,0
7590,25,24,100.4,55.6,1.23,1
9903,19,17,73.1,74.1,1.1,1
2982,17,18,73.9,74.1,1.08,1
12802,17,16,59.6,63,0.99,0
11915,13,19,55,55.6,0.72,0
8568,21,17,86.6,60,1.12,1
8566,18,21,92.6,56,1,0
5736,16,20,66.6,56,0.9,0
8565,9,17,46.7,56,0.65,0
7382,11,19,53.1,52,0.62,0
9216,26,14,117,84,1.7,1
9217,21,14,88.3,68,1.33,1
8564,20,16,86.2,72,1.32,1
2023,15,13,56.7,84,1.09,1
9219,12,19,56.6,56,0.72,0
2023,30,20,77.4,80,1.33,1
8564,27,20,85.7,68.6,1.21,1
9219,19,26,78.1,62.9,0.93,0
9216,22,23,69.8,62.9,0.92,0
9217,21,27,62.3,62.9,0.87,0
7382,28,22,94.9,82.9,1.32,1
8568,29,26,88.1,77.1,1.18,1
8565,24,24,66.9,62.9,1.05,1
8566,21,21,76.6,65.7,1.02,1
